Term,Year,Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
Spring,2019,120191 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1PKS5188MS
Spring,2019,120191 ,KL ,306 ,MS ,5599 ,Bioprocessing and Bioenergy ,5166 ,Professional Science Masters ,8,4,4,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,8,1PKS5599MS
Spring,2019,120191 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,25,8,17,0,23,1,0,0,0,0,1,0,0,0,1,0,1,24,1,10KL5319BS
Spring,2019,120191 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,28,8,20,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,10KL5320BS
Spring,2019,120191 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,12,3,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10KS0181MS
Spring,2019,120191 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,20,3,17,0,18,0,2,0,0,0,0,0,0,2,0,0,0,15,5,10KS0181MSU
Spring,2019,120191 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,5287 ,Advertising ,34,9,25,0,28,1,2,2,0,0,1,0,0,4,0,0,1,34,0,10KL5284BS
Spring,2019,120191 ,KL ,402 ,BS ,5284 ,Agricultural Communications ,5578 ,Journalism ,7,1,6,0,5,0,1,1,0,0,0,0,0,1,0,0,0,7,0,10KL5284BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,51,28,23,0,28,7,1,5,0,1,1,8,0,1,0,1,8,41,10,10KL5003BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,13,12,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,12,1,10KL5005BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,139,103,36,0,110,6,3,3,0,0,4,13,0,4,1,1,8,123,16,10KL5006BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10KL8037BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,143,111,32,0,97,15,3,13,0,0,1,13,1,4,0,0,15,124,19,10KL5007BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,33,16,17,0,21,3,4,1,0,0,1,3,0,5,1,0,3,27,6,10KL5008BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",29,15,14,0,14,2,2,5,0,0,0,6,0,2,0,0,2,20,9,10KL5010BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,73,43,30,0,48,5,5,9,0,0,2,3,1,6,1,0,7,64,9,10KL5011BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,105,80,25,0,78,11,2,7,1,0,0,5,1,3,1,0,11,95,10,10KL5136BS
Spring,2019,120191 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,81,63,18,0,51,10,5,9,0,0,0,6,0,5,0,0,10,74,7,10KL5316BS
Spring,2019,120191 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,22,12,10,0,9,0,1,0,0,0,1,11,0,2,0,0,0,6,16,10KS5273MS
Spring,2019,120191 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,60,32,28,0,2,4,1,2,0,0,0,50,1,1,0,0,4,3,57,10KS5273PHD
Spring,2019,120191 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,57,31,26,0,38,0,2,3,0,0,0,12,2,2,1,0,2,45,12,10KL0067NDEG
Spring,2019,120191 ,KL ,483 ,NONE ,5621 ,ACES Undeclared ,  ,  ,52,23,29,0,24,3,7,8,0,0,4,6,0,8,2,0,5,44,8,10KL5621NONE
Spring,2019,120191 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,59,5,53,1,29,6,3,16,0,0,4,1,0,4,1,0,10,55,4,10KL0002BS
Spring,2019,120191 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,10KL8037BS
Spring,2019,120191 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",417,77,339,1,232,35,37,90,0,0,13,9,1,46,4,1,48,375,42,10KL0002BS
Spring,2019,120191 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5588 ,Food Animal Prod & Mgmt ,23,6,17,0,19,0,2,2,0,0,0,0,0,2,0,0,0,20,3,10KL0002BS
Spring,2019,120191 ,KL ,538 ,MANSC ,0002 ,Animal Sciences ,  ,  ,5,3,2,0,4,0,0,0,0,0,1,0,0,0,0,0,1,4,1,1PKS0002MANS
Spring,2019,120191 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,48,14,34,0,33,1,0,3,0,0,0,11,0,0,0,0,1,27,21,10KS0002MS
Spring,2019,120191 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,41,19,22,0,18,1,1,0,0,0,0,21,0,1,0,0,1,12,29,10KS0002PHD
Spring,2019,120191 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,130,41,89,0,50,24,7,15,0,0,3,31,0,7,1,1,27,89,41,10KL0038BS
Spring,2019,120191 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KL8037BS
Spring,2019,120191 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,65,16,49,0,29,16,3,6,0,0,2,9,0,3,0,1,18,49,16,10KL0040BS
Spring,2019,120191 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,77,4,73,0,44,10,1,8,0,0,2,12,0,2,1,0,12,61,16,10KL0041BS
