term/year_code,coll,dept,degree,major_code,major_name,conc_code,concentration_name_(if_any),total,by_gender_men,by_gender_women,by_gender_unknown,by_self-reported_race/ethnicity_caucasian,by_self-reported_race/ethnicity_asian_american,by_self-reported_race/ethnicity_african_american,by_self-reported_race/ethnicity_hispanic,by_self-reported_race/ethnicity_native_american,by_self-reported_race/ethnicity_international,by_self-reported_race/ethnicity_unknown,by_residency_illinois,by_residency_non-illinois,academic_program_code,term,year,by_self-reported_race/ethnicity_hawaiian/pacific_isl,by_self-reported_race/ethnicity_multiracial,all_students_including_multiracial_and_hispanic_all_african_american,all_students_including_multiracial_and_hispanic_all_native_american,all_students_including_multiracial_and_hispanic_all_hawaiian/_pac_isl,all_students_including_multiracial_and_hispanic_all_asian,by_self-reported_race/ethnicity_all_african_american,by_self-reported_race/ethnicity_all_native_american,urm_urm
120071 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0010 ,Agri-Accounting ,43,28,15,0,39,2,2,0,0,0,0,43,0,10KL0010BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0011 ,Agri-Finance ,38,29,9,0,29,1,5,3,0,0,0,36,2,10KL0011BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0012 ,Farm Management ,22,22,0,0,20,1,0,0,0,0,1,22,0,10KL0012BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0013 ,Agribusiness Markets & Mgmt ,65,50,14,1,60,1,2,1,0,1,0,64,1,10KL0013BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0014 ,Consumer and Textile Marketing ,  ,  ,25,1,24,0,20,4,1,0,0,0,0,24,1,10KL0014BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0018 ,Consumer Economics & Finance ,54,32,22,0,40,4,5,3,0,0,2,54,0,10KL0018BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0019 ,Env & Natural Resource Mgmt ,9,3,6,0,7,1,1,0,0,0,0,8,1,10KL0019BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0021 ,"Policy, Intl Trade, & Dvlpmt ",30,15,15,0,20,6,2,2,0,0,0,29,1,10KL0021BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,37,21,16,0,27,3,3,3,0,1,0,36,1,10KL5003BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,59,38,21,0,45,10,4,0,0,0,0,58,1,10KL5004BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,15,13,2,0,15,0,0,0,0,0,0,15,0,10KL5005BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,79,46,33,0,65,2,7,3,0,1,1,74,5,10KL5006BS,sp,07,,,,,,,,,
120071 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,77,49,28,0,62,10,1,1,0,1,2,75,2,10KL5007BS,sp,07,,,,,,,,,
